TS	2_bonds	no_bonds	303_350
24200000	-1347760.0172	-1238140.2844	-1343214.6699
24250000	-1348263.3976	-1237110.7585	-1345828.0976
24300000	-1347603.8315	-1236140.8200	-1345202.9755
24350000	-1348184.3502	-1235458.0968	-1343556.3469
24400000	-1346673.4506	-1237538.4215	-1344463.4507
24450000	-1347373.8506	-1235971.8203	-1345252.2237
24500000	-1347719.2814	-1236571.2312	-1344732.3041
24550000	-1347892.3651	-1237425.0065	-1344968.6946
24600000	-1346544.9872	-1235839.5725	-1344188.2936
24650000	-1347465.4603	-1236916.4259	-1344306.8799
24700000	-1348656.3257	-1237169.7578	-1345123.0225
